Delta Test,T,Method,Repeat,Estimated_R_delta,True_R_delta,MSE
0.1,1000,DRO-IPW,12,0.4649163199575117,0.4053099105768362,0.0035529240392566824
0.1,1000,LDR2PE-CP,13,0.4202409901602293,0.4053099105768362,0.00022293713752561902
0.1,1000,DRO-IPW,13,0.4534406052898001,0.4053099105768362,0.0023165637735525347
0.1,1000,LDR2PE-CP,14,0.46098455487819623,0.4053099105768362,0.0030996660180829623
0.1,1000,DRO-IPW,14,0.5280439636566211,0.4053099105768362,0.01506364778539146
0.1,1000,LDR2PE-CP,15,0.5036331304184083,0.4053099105768362,0.009667455560014119
0.1,1000,DRO-IPW,15,0.4972378904302195,0.4053099105768362,0.008450753479924047
0.1,1000,LDR2PE-CP,16,0.5496893349494807,0.4053099105768362,0.020845418182176174
0.1,1000,DRO-IPW,16,0.6053321820846074,0.4053099105768362,0.040008909099128534
0.1,1000,LDR2PE-CP,17,0.4105269829882986,0.4053099105768362,2.7217844546442194e-05
0.1,1000,DRO-IPW,17,0.42358867513008325,0.4053099105768362,0.00033411323359304126
0.1,1000,LDR2PE-CP,18,0.5439643092957755,0.4053099105768362,0.019225042284110615
0.1,1000,DRO-IPW,18,0.5799743128126282,0.4053099105768362,0.03050765340838656
0.1,1000,LDR2PE-CP,19,0.6102331326007571,0.4053099105768362,0.041993526924665174
0.1,1000,DRO-IPW,19,0.5692898063036835,0.4053099105768362,0.02688940620258773
0.1,2000,LDR2PE-CP,0,0.3615410619285254,0.4053099105768362,0.0019157121119987351
0.1,2000,DRO-IPW,0,0.3945314688059242,0.4053099105768362,0.00011617480700894002
0.1,2000,LDR2PE-CP,1,0.3614350733502981,0.4053099105768362,0.0019250013416552104
0.1,2000,DRO-IPW,1,0.4149643428038521,0.4053099105768362,9.320806162604313e-05
0.1,2000,LDR2PE-CP,2,0.4135689160795233,0.4053099105768362,6.82111718934158e-05
0.1,2000,DRO-IPW,2,0.462918285828759,0.4053099105768362,0.003318724899166352
0.1,2000,LDR2PE-CP,3,0.3863135308684706,0.4053099105768362,0.00036086244202440416
0.1,2000,DRO-IPW,3,0.4051273859056568,0.4053099105768362,3.331525558915067e-08
0.1,2000,LDR2PE-CP,4,0.46032398671309505,0.4053099105768362,0.0030265485731260865
0.1,2000,DRO-IPW,4,0.4953200715996884,0.4053099105768362,0.00810182908735978
0.1,2000,LDR2PE-CP,5,0.3535304740304315,0.4053099105768362,0.002681110049063152
0.1,2000,DRO-IPW,5,0.4117573957654105,0.4053099105768362,4.157006525688495e-05
0.1,2000,LDR2PE-CP,6,0.354936381459408,0.4053099105768362,0.0025374924357443873
0.1,2000,DRO-IPW,6,0.40431565772290423,0.4053099105768362,9.885387375518354e-07
0.1,2000,LDR2PE-CP,7,0.5232402491519387,0.4053099105768362,0.013907564756438307
0.1,2000,DRO-IPW,7,0.5275462681291099,0.4053099105768362,0.014941727107647297
0.1,2000,LDR2PE-CP,8,0.4406760680347169,0.4053099105768362,0.0012507650933356097
0.1,2000,DRO-IPW,8,0.47913561829757645,0.4053099105768362,0.005450235120468169
0.1,2000,LDR2PE-CP,9,0.41521690176715,0.4053099105768362,9.814847444495518e-05
0.1,2000,DRO-IPW,9,0.4688818189608772,0.4053099105768362,0.004041387535588906
0.1,2000,LDR2PE-CP,10,0.4094271937158901,0.4053099105768362,1.695202044713759e-05
0.1,2000,DRO-IPW,10,0.4713851015384427,0.4053099105768362,0.004365930860612768
0.1,2000,LDR2PE-CP,11,0.4051076218033887,0.4053099105768362,4.0920747862880896e-08
0.1,2000,DRO-IPW,11,0.45032945847066563,0.4053099105768362,0.0020267596925648036
0.1,2000,LDR2PE-CP,12,0.413547813313604,0.4053099105768362,6.786304150044694e-05
0.1,2000,DRO-IPW,12,0.456673545890645,0.4053099105768362,0.0026382230326499495
0.1,2000,LDR2PE-CP,13,0.4779654320967869,0.4053099105768362,0.005278824807336018
